,Year,File,high_competition_count,Technology_competition_count
198,2012,4904.html,33,20
199,2012,2969.html,81,46
200,2012,1750.html,18,23
201,2012,3570.html,41,44
202,2012,2034.html,32,19
203,2012,3952.html,5,0
204,2012,4281.html,139,38
205,2012,4447.html,53,16
206,2012,3499.html,25,15
207,2012,4977.html,61,25
208,2012,5133.html,90,40
209,2012,4127.html,81,68
210,2014,2491.html,67,88
211,2014,5981.html,40,23
212,2014,1800.html,40,35
213,2014,6176.html,23,11
214,2014,4457.html,37,23
215,2014,4962.html,140,111
216,2014,3545.html,1,0
217,2014,5272.html,0,0
218,2014,5768.html,47,57
219,2014,2098.html,33,20
220,2014,5513.html,149,27
221,2014,2488.html,94,109
222,2014,3197.html,50,62
223,2014,3116.html,46,35
224,2014,2178.html,16,10
225,2014,4187.html,28,13
226,2014,2186.html,28,49
227,2014,3453.html,73,36
228,2014,4904.html,30,26
229,2014,2969.html,0,0
230,2014,1750.html,22,17
231,2014,6201.html,100,58
232,2014,3570.html,38,35
233,2014,2034.html,45,22
234,2014,4281.html,145,50
235,2014,4447.html,42,17
236,2014,3499.html,24,16
237,2014,4977.html,57,24
238,2014,5133.html,71,38
239,2014,4127.html,88,78
