,Area,Job_title,Company,Experience,Salary,Location,Description,Tag assosiated,Posting_date
697,Business Intelligence Jobs,Business Intelligence Analyst,TE Connectivity India Private Limited,6-10 Yrs,"7,50,000 - 14,00,000 PA.",Bengaluru," Ø Drive the development and analysis of data, Dash boarding and business intelligence p...","Tensorflow, Data Science, CSS, R, Javascript, Big Data, SQL Database, Tableau",12 Days Ago
698,Business Intelligence Jobs,Associate Director- Business Intelligence & Analytics _ KPMG Bangalore,KPMG Global services private limited,10-15 Yrs,Not disclosed,Bengaluru, Certification in statistical modelling and tools is required MBA from a Tier 1 business...,"Business Intelligence, sas, Data Analysis, Statistical Modeling, Statistical Analysis, Analytics, statistics",15 Days Ago
699,Business Intelligence Jobs,"Business Intelligence Engineer (forecasting)- Python, SQL & Tableau",2Coms Consulting Pvt Ltd.,3-8 Yrs,"25,00,000 - 32,50,000 PA.",Hyderabad," Bachelors degree in Computer Science, Engineering, Math, Finance, Statistics or related...","Predictive Modeling, python, data analysis, data analytics, forecasting, data mining, bi, Reports",None
700,Business Intelligence Jobs,Assistant Manager - Business Intelligence,3P CONSULTANTS,4-9 Yrs,"6,50,000 - 15,00,000 PA.",Navi Mumbai, Around 4 -11 years of work experience in a chemical / specialty chemicals / agrochemica...,"tableau, data analysis, corporate planning, bi, business analysis, Data Mining, Strategy, business analyst",9 Days Ago
701,Business Intelligence Jobs,Assistant Manager - Analytics - Reporting & Business Intelligence,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Delhi NCR, Experience in managing cloud based data warehouse environments such as Amazon red shift...,"Business Intelligence, testing, Tableau, Data Warehousing, Analytics, SQL",2 Days Ago
702,Business Intelligence Jobs,Lead - Business Intelligence - Pharma Domain,Huquo Consulting Pvt. Ltd,5-10 Yrs,Not disclosed,"Bengaluru, Gurgaon", Functional: - Should have experience in following concepts and technologies: Specifics:...,"Microstrategy, Business Intelligence, AWS stack, EC2, Lead, Qlikview, Tableau, QlikSense",2 Days Ago
703,Business Intelligence Jobs,Assistant Manager - Analytics - Reporting & Business Intelligence,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Delhi NCR, Experience in managing cloud based data warehouse environments such as Amazon red shift...,"Business Intelligence, Tableau, Data Warehousing, Analytics, SQL",11 Days Ago
704,Business Intelligence Jobs,"Business Intelligence Consultant at Quantzig, Bangalore",Quantzig,2-6 Yrs,Not disclosed,Bengaluru(Marathahalli), Ability to proficiently come up to business requirements / model and gain good understa...,"Data Validation, Business Intelligence, r, python, tableau, Data Management, Data Visualization, power bi",25 Days Ago
705,Business Intelligence Jobs,"Manager /Sr .manager Business Intelligence(microstrategy,qlik/tableau)",Ocwen Financial Solutions Pvt. Ltd,10-18 Yrs,Not disclosed,Bengaluru, POSITION SUMMARY: This is a Senior BI Architect (Sr. Manager/Manager) position responsi...,"Business Intelligence, Visual Effects, Engineering Management, Data Management, Problem Solving, Database Design, Executive Management, Reporting Tools",18 Days Ago
706,Business Intelligence Jobs,"Business Intelligence Consultant Position in CRIF Solutions, Pune",CRIF Solutions Private Limited,7-12 Yrs,Not disclosed,Pune(Baner), Minimum 6 years of experience delivering multiple large / complex traditional DW / BI o...,"tableau, dwh, metadata management, data reporting, dwbi, consulting, data warehousing, big data",30+ Days Ago
707,Business Intelligence Jobs,Business Intelligence Analyst,GSA Techworld,2-3 Yrs,Not disclosed,Bengaluru, Kindly find below JD : - We are seeking a skilled Business Intelligence Analyst to crea...,"Business Intelligence, Business Analyst, Data Analyst, Statistical Analyst",30+ Days Ago
708,Business Intelligence Jobs,Business Intelligence Analysts,Globant India Private Limited,3-5 Yrs,Not disclosed,Pune," Experience using SSIS, or Pentaho, or Qlikview","Business Intelligence, Design Engineering, QlikView, SSIS, Pentaho",30+ Days Ago
709,Business Intelligence Jobs,Business Intelligence,RXCRUIT ADVISORS PRIVATE LIMITED,3-8 Yrs,"10,00,000 - 16,00,000 PA.",Delhi NCR, Job Description:-- Experience in Prescription Data Set.- Hands on experience in Sales F...,"Business Intelligence, forecasting, prescription data, Data Visualization, segmentation, MINDAS, IQVIA",30 Days Ago
710,Business Intelligence Jobs,Business Intelligence Analyst Required in Canada,Beyond infinity consultancy,2-5 Yrs,"40,00,000 - 75,00,000 PA.",Canada, Komal :- 7428403420 Business Intelligence Analysts are usually responsible for gatherin...,"Business Intelligence, Business Planning, process excellence, Web Technologies, Business Excellence, process improvement, Business Development, Business Objects",5 Days Ago
